epoch,price
1620260562.064908,1.40265000
1620260562.067920,1.40265000
1620260562.070964,1.40265000
1620260562.073599,1.40265000
1620260562.076392,1.40265000
1620260562.079282,1.40265000
1620260562.082036,1.40265000
1620260562.084787,1.40265000
1620260562.087126,1.40265000
1620260562.089902,1.40265000
1620260562.092451,1.40265000
1620260562.093721,1.40262000
1620260562.096790,1.40262000
1620260562.098263,1.40122000
1620260562.099648,1.40100000
1620260562.100971,1.40099000
1620260562.103710,1.40099000
1620260564.614299,1.40425000
1620260564.685683,1.40441000
1620260566.372648,1.40245000
1620260567.360388,1.40455000
1620260568.634903,1.40567000
1620260568.700524,1.40567000
1620260568.793460,1.40567000
1620260570.783659,1.40894000
1620260571.291911,1.40923000
1620260573.327279,1.41039000
1620260578.725944,1.41129000
1620260579.060476,1.41200000
1620260579.062234,1.41200000
1620260579.501096,1.41106000
1620260579.502413,1.41106000
1620260580.904362,1.41317000
1620260581.156795,1.41448000
1620260582.093943,1.41499000
1620260582.448130,1.41499000
1620260582.557784,1.41499000
1620260582.682293,1.41499000
1620260583.033677,1.41499000
1620260584.417661,1.41317000
1620260585.122810,1.41317000
1620260585.388015,1.41308000
1620260585.389682,1.41308000
1620260585.392425,1.41308000
1620260585.618544,1.41308000
1620260586.025079,1.41308000
1620260586.805759,1.41308000
1620260587.063854,1.41308000
1620260587.066693,1.41308000
1620260587.182829,1.41308000
1620260587.184462,1.41317000
1620260587.186358,1.41317000
1620260587.188074,1.41317000
1620260587.189981,1.41317000
1620260587.191237,1.41425000
1620260587.436010,1.41425000
1620260589.267453,1.41482000
1620260589.379585,1.41482000
1620260589.639434,1.41473000
1620260589.894523,1.41448000
1620260592.618595,1.41377000
1620260592.772567,1.41099000
1620260592.774107,1.41098000
1620260593.570561,1.41072000
1620260593.682285,1.41072000
1620260593.793896,1.41072000
1620260594.488451,1.41074000
1620260595.603751,1.41071000
1620260595.605636,1.41074000
1620260596.498488,1.41074000
1620260599.054954,1.40796000
1620260599.091765,1.40796000
1620260599.093437,1.40796000
1620260599.095306,1.40796000
1620260599.116645,1.40796000
1620260599.585990,1.40795000
1620260599.702965,1.40752000
1620260600.544517,1.40770000
1620260600.546157,1.40795000
1620260601.211921,1.40751000
1620260602.379596,1.40703000
1620260602.558102,1.40730000
1620260604.517686,1.41017000
1620260607.767026,1.41096000
1620260617.280374,1.40438000
1620260617.315169,1.40438000
1620260617.317273,1.40437000
1620260617.319001,1.40436000
1620260618.770647,1.40800000
1620260619.733727,1.40799000
1620260622.886947,1.40642000
1620260631.834935,1.40446000
1620260635.623495,1.40305000
1620260636.164933,1.40159000
1620260638.103113,1.40148000
1620260638.104968,1.40147000
1620260638.108544,1.40019000
1620260638.111319,1.40003000
1620260638.113572,1.40003000
1620260638.115766,1.40003000
1620260638.117975,1.40003000
1620260638.201673,1.40149000
1620260639.563294,1.40031000
1620260639.564711,1.40031000
1620260640.029642,1.40133000
1620260640.031083,1.40138000
1620260641.247629,1.40138000
1620260641.676332,1.40169000
1620260641.873746,1.40177000
1620260642.894394,1.40177000
1620260643.006983,1.40187000
1620260643.008611,1.40187000
1620260643.010135,1.40187000
1620260644.546334,1.40115000
1620260644.547512,1.40116000
1620260646.410131,1.40186000
1620260646.625060,1.40186000
1620260646.626544,1.40187000
1620260646.628034,1.40187000
1620260647.810133,1.40117000
1620260648.911745,1.40187000
1620260648.913450,1.40187000
1620260649.300305,1.40021000
1620260649.302765,1.40021000
1620260649.304964,1.40021000
1620260649.307011,1.40021000
1620260650.466697,1.40117000
1620260651.410200,1.40130000
1620260651.819593,1.40200000
1620260651.821196,1.40232000
1620260651.966864,1.40168000
1620260655.726780,1.40001000
1620260655.728759,1.40000000
1620260655.795327,1.40000000
1620260655.797061,1.40000000
1620260655.853214,1.40000000
1620260656.886474,1.39955000
1620260657.086230,1.39707000
1620260657.088162,1.39702000
1620260657.219497,1.39681000
1620260657.222876,1.39616000
1620260657.226293,1.39610000
1620260657.227859,1.39610000
1620260657.229558,1.39610000
1620260659.980090,1.39868000
1620260660.205183,1.39867000
1620260660.880767,1.39741000
1620260663.793986,1.39659000
1620260664.419185,1.39651000
1620260664.497231,1.39651000
1620260665.658971,1.39868000
1620260666.394345,1.40080000
1620260666.395862,1.40091000
1620260666.618370,1.39923000
1620260666.620662,1.39923000
1620260666.622777,1.39923000
1620260666.624858,1.39923000
1620260670.353128,1.39928000
1620260671.994068,1.39761000
1620260674.997576,1.39973000
1620260675.163033,1.39759000
1620260677.504091,1.39999000
1620260677.616708,1.39999000
1620260677.736045,1.40000000
1620260677.738842,1.40000000
1620260677.740581,1.40000000
1620260677.742064,1.40000000
1620260678.040261,1.40039000
1620260678.041704,1.39818000
1620260678.636022,1.40214000
1620260680.718025,1.40002000
1620260680.719419,1.39930000
1620260680.721532,1.39930000
1620260680.723385,1.39930000
1620260680.724433,1.39922000
1620260680.725505,1.39921000
1620260681.437986,1.40068000
1620260681.704058,1.40068000
1620260682.239633,1.39990000
1620260684.241664,1.40299000
1620260686.423668,1.40283000
1620260686.424929,1.40304000
1620260686.426022,1.40333000
1620260687.314787,1.40332000
1620260687.547355,1.40332000
1620260688.107806,1.40284000
1620260689.537653,1.40325000
1620260691.629112,1.40285000
1620260691.630770,1.40087000
1620260692.721317,1.40322000
1620260692.978688,1.40331000
1620260693.064159,1.40331000
1620260693.379857,1.40130000
1620260693.384968,1.40130000
1620260693.402473,1.40130000
1620260694.656598,1.39851000
1620260694.658189,1.39801000
1620260694.659440,1.39800000
1620260694.660785,1.39724000
1620260694.662237,1.39723000
1620260694.663121,1.39711000
1620260694.664803,1.39710000
1620260694.666070,1.39708000
1620260694.852083,1.39894000
1620260695.047181,1.39932000
1620260695.376958,1.40018000
1620260695.570011,1.40018000
1620260696.009039,1.39887000
1620260703.193215,1.39734000
1620260703.772640,1.39816000
1620260704.690607,1.39832000
1620260706.407209,1.39831000
1620260706.504333,1.39561000
1620260707.815126,1.39790000
1620260708.257940,1.39819000
1620260708.588758,1.39817000
1620260709.217466,1.39817000
1620260710.003125,1.39830000
1620260710.127437,1.39830000
1620260710.622428,1.39830000
1620260710.640243,1.39830000
1620260710.819957,1.39831000
1620260712.175199,1.39786000
1620260712.261121,1.39786000
1620260712.332325,1.39934000
1620260712.452046,1.39934000
1620260712.977855,1.40000000
1620260713.099211,1.40169000
1620260715.531768,1.39932000
1620260715.533872,1.39932000
1620260715.535668,1.39932000
1620260715.537669,1.39932000
1620260716.731191,1.40070000
1620260716.732602,1.39936000
1620260718.552781,1.39865000
1620260718.556645,1.39865000
1620260718.559290,1.39865000
1620260718.561890,1.39865000
1620260725.383978,1.39736000
1620260725.385655,1.39735000
1620260725.387043,1.39720000
1620260725.442822,1.39726000
1620260731.905530,1.39690000
1620260732.438521,1.39587000
1620260732.440689,1.39561000
1620260732.441956,1.39502000
1620260733.225485,1.39794000
1620260734.119274,1.39704000
1620260734.120557,1.39503000
1620260734.121751,1.39500000
1620260735.805244,1.39755000
1620260741.383360,1.39594000
1620260744.862174,1.39872000
1620260746.527643,1.39500000
1620260748.396133,1.39457000
1620260748.398053,1.39444000
1620260748.399861,1.39435000
1620260748.591136,1.39400000
1620260748.592514,1.39400000
1620260748.593781,1.39200000
1620260748.595002,1.39200000
1620260748.596123,1.39200000
1620260748.597122,1.39126000
1620260749.773245,1.39130000
1620260749.774888,1.39126000
1620260750.463310,1.39219000
1620260753.533558,1.39337000
1620260753.534578,1.39131000
1620260758.337336,1.39209000
1620260759.035245,1.39209000
1620260762.262676,1.39123000
1620260762.752411,1.39100000
1620260765.321380,1.39001000
1620260765.322989,1.39000000
1620260765.324584,1.39000000
1620260765.364008,1.39000000
1620260765.366524,1.39000000
1620260765.372313,1.39000000
1620260765.374621,1.39000000
1620260765.395831,1.39000000
1620260766.585899,1.38740000
1620260767.188064,1.39041000
1620260768.155734,1.38729000
1620260770.819147,1.38729000
1620260770.844451,1.38727000
1620260771.631485,1.38686000
1620260771.632967,1.38656000
1620260771.634207,1.38546000
1620260771.635793,1.38545000
1620260771.637277,1.38502000
1620260771.641115,1.38498000
1620260771.642636,1.38489000
1620260771.733256,1.38489000
1620260771.735467,1.38489000
1620260771.737393,1.38489000
1620260771.739472,1.38489000
1620260771.741148,1.38489000
1620260771.839924,1.38726000
1620260775.994834,1.38491000
1620260777.522285,1.38630000
1620260777.523660,1.38640000
1620260777.525097,1.38657000
1620260777.527401,1.38657000
1620260782.504456,1.38419000
1620260782.507372,1.38418000
1620260782.801653,1.38418000
1620260784.841494,1.38418000
1620260784.843676,1.38251000
1620260784.845205,1.38250000
1620260784.846259,1.38200000
1620260784.848001,1.38198000
1620260784.849156,1.38196000
1620260784.850522,1.38130000
1620260784.851707,1.38102000
1620260784.853666,1.38102000
1620260784.855535,1.38102000
1620260785.865282,1.38238000
1620260787.330959,1.38320000
1620260787.332615,1.38320000
1620260787.334647,1.38320000
1620260787.336811,1.38320000
1620260787.339254,1.38320000
1620260789.886960,1.38319000
1620260789.888305,1.38239000
1620260789.889430,1.38170000
1620260789.891380,1.38169000
1620260791.975033,1.38495000
1620260794.405056,1.38493000
1620260794.406185,1.38494000
1620260794.426893,1.38492000
1620260794.493013,1.38492000
1620260797.965201,1.38319000
1620260797.966492,1.38175000
1620260797.968945,1.38175000
1620260797.970947,1.38175000
1620260797.973211,1.38175000
1620260799.588875,1.38175000
1620260799.590694,1.38076000
1620260799.592416,1.38066000
1620260799.595281,1.38066000
1620260799.596533,1.38023000
1620260799.598227,1.38001000
1620260799.599871,1.38000000
1620260799.601635,1.38000000
1620260799.603273,1.38000000
1620260799.604708,1.38000000
1620260799.605869,1.38000000
